Gene ID	Entrez Gene ID	Gene Symbol	Gene Name	Organism	Unigene ID	Ensembl ID	UniProt ID	Alias	Lifespan Effect	Phenotype Description	Longevity Influence	Max Lifespan Change	Avg Lifespan Change	Method	Bibliographic reference
88	180769	calu-1	CALUmenin (calcium-binding protein) homolog	Caenorhabditis elegans	Cel.34797	M03F4.7			decrease	RNA interference decreased median lifespan by 23% in a daf-2 background and 15% in daf-2/daf-16 double mutants.	pro			RNA interference	
1973	181215	cbs-1	Cystathionine Beta-Synthase	Caenorhabditis elegans	17501				increase	Overexpression of CBS-1 significantly extended median lifespan of wild-type N2 controls by up to 50%, while maximal lifespan was mostly unaffected. 	pro		50	Overexpression	
94	174713	cchl-1	Cytochrome C Heme-Lyase	Caenorhabditis elegans	Cel.6562	T06D8.6			increase	RNA interference results in about 50% lifespan extension.	anti		50	RNA interference	
94	174713	cchl-1	Cytochrome C Heme-Lyase	Caenorhabditis elegans	Cel.6562	T06D8.6			increase	RNAi resulted in a 19-36% mean lifespan extension.	anti		36	RNA interference	
95	172832	cco-1	Cytochrome C Oxidase	Caenorhabditis elegans	Cel.23146	F26E4.9			increase	RNA interference extends lifespan.	anti			RNA interference	
95	172832	cco-1	Cytochrome C Oxidase	Caenorhabditis elegans	Cel.23146	F26E4.9			increase	RNAi resulted in a lifespan extension.	anti			RNA interference	
95	172832	cco-1	Cytochrome C Oxidase	Caenorhabditis elegans	Cel.23146	F26E4.9			increase	RNAi resulted in a 45-61% increase in mean lifespan.	anti		61	RNA interference	
95	172832	cco-1	Cytochrome C Oxidase	Caenorhabditis elegans	Cel.23146	F26E4.9			increase	Extended mean lifespan (30-80% in different backgrounds) when inactivated post developmentally.	anti		80	RNA interference	
95	172832	cco-1	Cytochrome C Oxidase	Caenorhabditis elegans	Cel.23146	F26E4.9			increase	RNAi resulted in a 20% extendned mean lifespan.	anti		20	RNA interference	
96	176707	cco-2	Cytochrome C Oxidase	Caenorhabditis elegans	Cel.8875	Y37D8A.14			increase	RNA interference results in a 53-57% increase in mean lifespan.	anti		57	RNA interference	
96	176707	cco-2	Cytochrome C Oxidase	Caenorhabditis elegans	Cel.8875	Y37D8A.14			increase	RNAi resulted in a 60% mean lifespan extension.	anti		60	RNA interference	
97	178184	ccr-4	CCR (yeast CCR4/NOT complex component) homolog	Caenorhabditis elegans	Cel.6023	ZC518.3			decrease	RNA interference decreased median lifespan by 33% in wild type animals, 37% in a daf-2 background and 44% in daf-2/daf-16 double mutants.	pro		33	RNA interference	
2049	174318	cct-1	T-complex protein 1 subunit alpha	Caenorhabditis elegans	17047				increase	RNA interference of cct-1 results in an increased lifespan.	anti		10.1	RNA interference	
99	174330	cct-4	Chaperonin Containing TCP-1	Caenorhabditis elegans	Cel.22476	K01C8.10			increase	RNA interference in adulthood resulted in a 28% increase in mean lifespan.	anti		28	RNA interference	
100	175819	cct-6	Chaperonin Containing TCP-1	Caenorhabditis elegans	Cel.17538	F01F1.8			increase	RNA interference in adulthood resulted in a 20% increase in mean lifespan.	anti		20	RNA interference	
2054	176928	cct-8	Chaperonin Containing TCP-1	Caenorhabditis elegans	11906				increase	RNA interference of cct-8 results in an increased lifespan.	anti		16	RNA interference	
103	172353	cdc-25.1	Cell Division Cycle related	Caenorhabditis elegans	Cel.17290	K06A5.7			increase	RNA interference resulted in increased thermotolerance and extended lifespan.	anti			RNA interference	
104	176260	cdc-25.3	Cell Division Cycle related	Caenorhabditis elegans	Cel.10680	ZK637.11			increase	RNA interference extended lifespan. Knockout mutants also displayed increased thermotolerance and a 40% life-extension.	anti		40	Knockout	
1759	174624	cdc-48.1	Protein CDC-48.1	Caenorhabditis elegans					increase	In contrast to single deletions, worms deficient for both cdc-48.1 (p97) and atx-3 have an extended lifespan, modulated through the insulin/IGF-1 signalling pathway.	anti		50	Mutation	
107	171784	cdk-7	Cyclin-Dependent Kinase family	Caenorhabditis elegans	Cel.7731	Y39G10AL.3			decrease	RNA interference decreased median lifespan by 18% in a daf-2 background and 19% in daf-2/daf-16 double mutants.	pro			RNA interference	
1783	175559	cdtl-7	Protein CDTL-7	Caenorhabditis elegans					decrease	Post-developmental RNAi of cdtl-7 shortens lifespan of wild type worms.	pro	25	22.2	Post-developmental RNA interference	
644	174265	cec-3	Protein CEC-3	Caenorhabditis elegans	Cel.7475	T09A5.8			increase	RNA interference extends lifespan.	anti			RNA interference	
112	178272	ced-3	CEll Death abnormality	Caenorhabditis elegans	Cel.19438	C48D1.2			increase	RNA interference in adulthood resulted in a 19% increase in mean lifespan.	anti		19	RNA interference	
908	175811	ceh-10	ceh-10 Homeobox	Caenorhabditis elegans		W03A3.1			decrease	Mean lifespan was shorter by 40% compared to wild type worms.	pro		40	Mutations	
113	180671	ceh-18	Protein CEH-18	Caenorhabditis elegans	Cel.18139	ZC64.3			increase	RNA interference extends lifespan.	anti			RNA interference	
1820	3565545	ceh-20	Protein CEH-20	Caenorhabditis elegans					decrease	Several of the RNAi candidates (dve-1; lin-40; nhr-49; ceh-20; lin-11; and nhr-77) appeared to non-discriminately shorten lifespan in all strains tested, suggesting that the corresponding transcription factors are broadly required for survival. Interestingly, four RNAi clones (ZC123.3; nhr-119; ceh-37; and aha-1) affected wild-type and isp-1;ctb-1 mutant worms' lifespan to the same extent but exerted only a moderate or no effect on daf-16 and age-1 mutant longevity.	pro		12	RNA interference	
1819	176096	ceh-23	Protein CEH-23	Caenorhabditis elegans					increase	Worms transformed with 10 ng/ul of ceh-23 (red curve) rwEx16[ceh-23+mec-7::rfp] showed an increased lifespan (p<0.001, log-rank test) when compared to rwEx18[mec-7::rfp] control worms (black curve). By contrast, worms transformed with 1 ng/ul of ceh-23 (green curve) rwEx17[ceh-23+mec-7::rfp] showed only marginal lifespan increased (p = 0.036, log rank test) when compared to rwEx18[Pmec-7::rfp] control worms (black curve).	pro	30	25	Overexpression	
1819	176096	ceh-23	Protein CEH-23	Caenorhabditis elegans					increase	Several of the RNAi candidates (dve-1; lin-40; nhr-49; ceh-20; lin-11; and nhr-77) appeared to non-discriminately shorten lifespan in all strains tested, suggesting that the corresponding transcription factors are broadly required for survival. Interestingly, four RNAi clones (ZC123.3; nhr-119; ceh-37; and aha-1) affected wild-type and isp-1;ctb-1 mutant worms' lifespan to the same extent but exerted only a moderate or no effect on daf-16 and age-1 mutant longevity.	pro		12	RNA interference	
1825	181530	ceh-37	Protein CEH-37	Caenorhabditis elegans					decrease	Several of the RNAi candidates (dve-1; lin-40; nhr-49; ceh-20; lin-11; and nhr-77) appeared to non-discriminately shorten lifespan in all strains tested, suggesting that the corresponding transcription factors are broadly required for survival. Interestingly, four RNAi clones (ZC123.3; nhr-119; ceh-37; and aha-1) affected wild-type and isp-1;ctb-1 mutant worms' lifespan to the same extent but exerted only a moderate or no effect on daf-16 and age-1 mutant longevity.	pro		8	RNA interference	
115	172814	cel-1	mRNA Capping Enzyme Like	Caenorhabditis elegans	Cel.8014	C03D6.3			decrease	RNA interference decreased median lifespan 76% in daf-2 mutants, 15% in daf-2/daf-16 double mutants, and 59% wild-type animals.	pro		59	RNA interference	
904	182749	CELE_C17H1.7	hypothetical protein	Caenorhabditis elegans		C17H1.7			increase	15% mean lifespan extension	anti		15	RNA interference post development	
905	173963	CELE_C25H3.9	hypothetical protein	Caenorhabditis elegans		C25H3.9			increase	30% mean lifespan extension	anti		30	RNA interference	
906	183078	CELE_C31B8.4	hypothetical protein	Caenorhabditis elegans		C31B8.4			increase	13% mean lifespan extension	anti		13	RNA interference post development	
72	183126	CELE_C32H11.1	Protein C32H11.1	Caenorhabditis elegans	Cel.13428	C32H11.1			increase	RNA interference extends lifespan.	anti			RNA interference	
73	183129	CELE_C32H11.5	Protein C32H11.5	Caenorhabditis elegans	Cel.13424	C32H11.5			increase	RNA interference extends lifespan.	anti			RNA interference	
74	177786	CELE_C33A12.1	Protein C33A12.1	Caenorhabditis elegans	Cel.13417	C33A12.1			increase	RNA interference increased mean lifespan by 40%.	anti		40	RNA interference	
74	177786	CELE_C33A12.1	Protein C33A12.1	Caenorhabditis elegans	Cel.13417	C33A12.1			increase	RNAi resulted in a 50% mean lifespan extension.	anti		50	RNA interference	
150	179499	CELE_D1054.14	Protein D1054.14	Caenorhabditis elegans	Cel.4311	D1054.14			increase	RNA interference in adulthood extended mean lifespan by 36%.	anti		36	RNA interference	
151	183917	CELE_D1054.8	Dehydrogenase	Caenorhabditis elegans	Cel.4315	D1054.8			increase	RNA interference results in lifespan extension.	anti			RNA interference	
199	177262	CELE_E03H12.5	Protein E03H12.5	Caenorhabditis elegans	Cel.29512	E03H12.5			increase	RNA interference extended lifespan.	anti			RNA interference	
925	179331	CELE_F11A3.2	hypothetical protein	Caenorhabditis elegans		F11A3.2			increase	Inhibition of eIF2B /F11A3.2 during adulthood conferred thermal and oxidative stress resistance and reduced the fecundity and fat storage. Mean LS was increased by 14%.	anti		14	RNA interference post development	
931	175926	CELE_F23F12.3	hypothetical protein	Caenorhabditis elegans		F23F12.3			increase	15% mean lifespan extension	anti		15	RNA interference post development	
246	176828	CELE_F29C4.2	Protein F29C4.2	Caenorhabditis elegans	Cel.22887	F29C4.2			increase	RNA interference increased mean lifespan by 100%.	anti		100	RNA interference	
246	176828	CELE_F29C4.2	Protein F29C4.2	Caenorhabditis elegans	Cel.22887	F29C4.2			increase	RNAi resulted in a 80% mean lifespan extension.	anti		80	RNA interference	
253	176402	CELE_F40F12.7	Protein F40F12.7	Caenorhabditis elegans	Cel.18119	F40F12.7			decrease	RNA interference decreased median lifespan by 43% in daf-2 mutants.	pro			RNA interference	
258	185704	CELE_F43D2.1	Protein F43D2.1	Caenorhabditis elegans	Cel.26816	F43D2.1			decrease	RNA interference decreased median lifespan by 20% in wild type animals, 34% in a daf-2 background and 35% in daf-2/daf-16 double mutants.	pro		20	RNA interference	
262	186068	CELE_F49F1.12	Protein F49F1.12	Caenorhabditis elegans	Cel.32635	F49F1.12			increase	RNA interference extends lifespan.	anti			RNA interference	
263	173558	CELE_F52C6.2	Protein F52C6.2	Caenorhabditis elegans	Cel.34586	F52C6.2			decrease	RNA interference decreased median lifespan by 19% in wild type animals and 46% in daf-2 mutants.	pro		19	RNA interference	
264	179849	CELE_F53F4.11	Protein F53F4.11	Caenorhabditis elegans	Cel.17493	F53F4.11			increase	RNA interference in adulthood resulted in a 27% mean lifespan extension.	anti		27	RNA interference	
936	176945	CELE_F53H1.3	hypothetical protein	Caenorhabditis elegans		F53H1.3			increase	RNAi led to 30% increase in mean lifespan	anti		30	RNA interference post development	
270	177772	CELE_F56D5.5	Protein F56D5.5	Caenorhabditis elegans	Cel.12825	F56D5.5			increase	RNA interference increased mean lifespan by 20%.	anti		20	RNA interference	
274	186593	CELE_F59B2.8	Protein F59B2.8	Caenorhabditis elegans	Cel.10372	F59B2.8			decrease	RNA interference in adulthood shortened the extended lifespan of daf-2 (mu150) mutants. Only a negligible or small reduction in the lifespan of wild-type worms was observed in knockouts.	pro			RNA interference	
277	172933	CELE_F59C6.5	Protein F59C6.5	Caenorhabditis elegans	Cel.18563	F59C6.5			increase	RNA interference in adulthood extended mean lifespan by 19%.	anti		19	RNA interference	
277	172933	CELE_F59C6.5	Protein F59C6.5	Caenorhabditis elegans	Cel.18563	F59C6.5			increase	RNAi resulted in a 16% mean lifespan extension.	anti		16	RNA interference	
277	172933	CELE_F59C6.5	Protein F59C6.5	Caenorhabditis elegans	Cel.18563	F59C6.5			increase	Post developmental RNAi resulted in a 30-70% mean lifespan extension (depending on background).	anti		70	RNA interference	
1766	176838	CELE_R02D3.3	Protein R02D3.3	Caenorhabditis elegans					increase	Post-developmental RNAi of R02D3.3 extends lifespan of wild type worms.	anti	21.7	13	Post-developmental RNA interference	
972	174683	CELE_R03D7.4	hypothetical protein	Caenorhabditis elegans		R03D7.4			increase	13% mean lifespan extension	anti		13	RNA interference	
523	187596	CELE_R05A10.5	Protein R05A10.5	Caenorhabditis elegans	Cel.12521	R05A10.5			increase	RNA interference extended lifespan.	anti			RNA interference	
642	173140	CELE_T06G6.4	Protein T06G6.4	Caenorhabditis elegans	Cel.25524	T06G6.4			increase	RNA interference extends lifespan.	anti			RNA interference	
729	173237	CELE_W09C5.8	Protein W09C5.8	Caenorhabditis elegans	Cel.18305	W09C5.8			increase	RNA interference extends lifespan about 60%.	anti		60	RNA interference	
729	173237	CELE_W09C5.8	Protein W09C5.8	Caenorhabditis elegans	Cel.18305	W09C5.8			increase	RNAi resulted in lifespan extension.	anti			RNA interference	
729	173237	CELE_W09C5.8	Protein W09C5.8	Caenorhabditis elegans	Cel.18305	W09C5.8			increase	60-100% extended mean lifespan when inactivated post developmentally, in different backgrounds.	anti		100	RNA interference	
729	173237	CELE_W09C5.8	Protein W09C5.8	Caenorhabditis elegans	Cel.18305	W09C5.8			increase	RNAi led to a 40% mean lifespan extension.	anti		40	RNA interference	
1002	180262	CELE_Y39B6A.3	hypothetical protein	Caenorhabditis elegans		Y39B6A.3			increase	Extended mean life span (30-50% in different backgrounds) when inactivated 	anti		50	RNA interference post development	
743	189761	CELE_Y39F10C.1	Protein Y39F10C.1	Caenorhabditis elegans	Cel.28134	Y39F10C.1			increase	RNA interference extends lifespan.	anti			RNA interference	
744	171792	CELE_Y39G10AR.8	Protein Y39G10AR.8	Caenorhabditis elegans	Cel.8138	Y39G10AR.8			increase	RNA interference in adulthood extended mean lifespan by 24%.	anti		24	RNA interference	
1003	189814	CELE_Y41C4A.11	hypothetical protein	Caenorhabditis elegans		Y41C4A.11			increase	13% mean lifespan extension	anti		13	RNA interference post development	
748	189875	CELE_Y43F8B.12	Protein Y43F8B.12	Caenorhabditis elegans	Cel.33115	Y43F8B.12			increase	RNA interference extends lifespan.	anti			RNA interference	
1005	174915	CELE_Y46G5A.20	hypothetical protein	Caenorhabditis elegans		Y46G5A.20			increase	15% mean lifespan extension	anti		15	RNA interference post development	
754	171919	CELE_Y47G6A.18	Protein Y47G6A.18	Caenorhabditis elegans	Cel.24314	Y47G6A.18			decrease	RNA interference decreased median lifespan by 28% in a daf-2 background and 12% in daf-2/daf-16 double mutants.	pro			RNA interference	
1007	173061	CELE_Y47H9C.1	hypothetical protein	Caenorhabditis elegans		Y47H9C.1			increase	10% mean lifespan extension	anti		10	RNA interference post development	
